cas_dni,x_zeme,y_zeme
173,-1.47446e+11,2.42141e+10
174,-1.47841e+11,2.16686e+10
175,-1.48193e+11,1.91166e+10
176,-1.485e+11,1.6559e+10
177,-1.48763e+11,1.39964e+10
178,-1.48982e+11,1.14297e+10
179,-1.49157e+11,8.85964e+09
180,-1.49287e+11,6.28691e+09
181,-1.49374e+11,3.71231e+09
182,-1.49415e+11,1.13662e+09
183,-1.49413e+11,-1.43942e+09
184,-1.49366e+11,-4.01502e+09
185,-1.49274e+11,-6.58944e+09
186,-1.49139e+11,-9.16189e+09
187,-1.48959e+11,-1.17316e+10
188,-1.48734e+11,-1.42979e+10
189,-1.48466e+11,-1.68599e+10
190,-1.48153e+11,-1.94169e+10
191,-1.47797e+11,-2.19681e+10
192,-1.47396e+11,-2.45128e+10
193,-1.46952e+11,-2.70502e+10
194,-1.46464e+11,-2.95796e+10
195,-1.45933e+11,-3.21002e+10
196,-1.45358e+11,-3.46112e+10
197,-1.4474e+11,-3.7112e+10
198,-1.44079e+11,-3.96018e+10
199,-1.43375e+11,-4.20798e+10
200,-1.42629e+11,-4.45453e+10
201,-1.4184e+11,-4.69975e+10
202,-1.4101e+11,-4.94358e+10
203,-1.40137e+11,-5.18594e+10
204,-1.39223e+11,-5.42676e+10
205,-1.38267e+11,-5.66597e+10
206,-1.3727e+11,-5.9035e+10
207,-1.36233e+11,-6.13927e+10
208,-1.35155e+11,-6.37322e+10
209,-1.34037e+11,-6.60528e+10
210,-1.32879e+11,-6.83537e+10
211,-1.31681e+11,-7.06344e+10
212,-1.30445e+11,-7.28941e+10
213,-1.2917e+11,-7.51321e+10
214,-1.27856e+11,-7.73478e+10
215,-1.26505e+11,-7.95405e+10
216,-1.25115e+11,-8.17097e+10
217,-1.23689e+11,-8.38545e+10
218,-1.22226e+11,-8.59745e+10
219,-1.20727e+11,-8.80689e+10
220,-1.19192e+11,-9.01371e+10
221,-1.17621e+11,-9.21786e+10
222,-1.16016e+11,-9.41928e+10
223,-1.14376e+11,-9.61789e+10
224,-1.12702e+11,-9.81365e+10
225,-1.10995e+11,-1.00065e+11
226,-1.09254e+11,-1.01964e+11
227,-1.07482e+11,-1.03832e+11
228,-1.05677e+11,-1.0567e+11
229,-1.03841e+11,-1.07476e+11
230,-1.01974e+11,-1.09251e+11
231,-1.00077e+11,-1.10992e+11
232,-9.81501e+10,-1.12701e+11
233,-9.61941e+10,-1.14377e+11
234,-9.42096e+10,-1.16019e+11
235,-9.21971e+10,-1.17626e+11
236,-9.01573e+10,-1.19198e+11
237,-8.80906e+10,-1.20735e+11
238,-8.59979e+10,-1.22236e+11
239,-8.38796e+10,-1.237e+11
240,-8.17364e+10,-1.25128e+11
241,-7.95689e+10,-1.26519e+11
242,-7.73779e+10,-1.27873e+11
243,-7.51638e+10,-1.29188e+11
244,-7.29275e+10,-1.30465e+11
245,-7.06695e+10,-1.31703e+11
246,-6.83906e+10,-1.32902e+11
247,-6.60913e+10,-1.34062e+11
248,-6.37724e+10,-1.35182e+11
249,-6.14347e+10,-1.36262e+11
250,-5.90786e+10,-1.37301e+11
251,-5.67051e+10,-1.383e+11
252,-5.43147e+10,-1.39258e+11
253,-5.19082e+10,-1.40174e+11
254,-4.94863e+10,-1.41049e+11
255,-4.70498e+10,-1.41882e+11
256,-4.45992e+10,-1.42673e+11
257,-4.21355e+10,-1.43421e+11
258,-3.96592e+10,-1.44127e+11
259,-3.71712e+10,-1.4479e+11
260,-3.46721e+10,-1.4541e+11
261,-3.21628e+10,-1.45987e+11
262,-2.96439e+10,-1.46521e+11
263,-2.71162e+10,-1.47012e+11
264,-2.45805e+10,-1.47458e+11
265,-2.20375e+10,-1.47861e+11
266,-1.9488e+10,-1.4822e+11
267,-1.69326e+10,-1.48535e+11
268,-1.43723e+10,-1.48807e+11
269,-1.18077e+10,-1.49034e+11
270,-9.23956e+09,-1.49216e+11
271,-6.66871e+09,-1.49355e+11
272,-4.09588e+09,-1.49449e+11
273,-1.52184e+09,-1.49499e+11
274,1.05265e+09,-1.49505e+11
275,3.62684e+09,-1.49466e+11
276,6.19995e+09,-1.49383e+11
277,8.77121e+09,-1.49255e+11
278,1.13399e+10,-1.49084e+11
279,1.39052e+10,-1.48868e+11
280,1.64664e+10,-1.48608e+11
281,1.90227e+10,-1.48304e+11
282,2.15733e+10,-1.47956e+11
283,2.41176e+10,-1.47564e+11
284,2.66547e+10,-1.47129e+11
285,2.9184e+10,-1.4665e+11
286,3.17045e+10,-1.46127e+11
287,3.42157e+10,-1.45561e+11
288,3.67167e+10,-1.44952e+11
289,3.92069e+10,-1.443e+11
290,4.16854e+10,-1.43605e+11
291,4.41516e+10,-1.42868e+11
292,4.66047e+10,-1.42088e+11
293,4.9044e+10,-1.41266e+11
294,5.14687e+10,-1.40402e+11
295,5.38782e+10,-1.39497e+11
296,5.62717e+10,-1.3855e+11
297,5.86486e+10,-1.37563e+11
298,6.10081e+10,-1.36534e+11
299,6.33495e+10,-1.35465e+11
300,6.56721e+10,-1.34356e+11
301,6.79753e+10,-1.33207e+11
302,7.02583e+10,-1.32019e+11
303,7.25205e+10,-1.30791e+11
304,7.47613e+10,-1.29525e+11
305,7.69798e+10,-1.28221e+11
306,7.91756e+10,-1.26878e+11
307,8.1348e+10,-1.25498e+11
308,8.34962e+10,-1.24081e+11
309,8.56197e+10,-1.22627e+11
310,8.77178e+10,-1.21136e+11
311,8.979e+10,-1.1961e+11
312,9.18355e+10,-1.18048e+11
313,9.38539e+10,-1.16452e+11
314,9.58445e+10,-1.1482e+11
315,9.78067e+10,-1.13155e+11
316,9.97399e+10,-1.11457e+11
317,1.01644e+11,-1.09725e+11
318,1.03517e+11,-1.07961e+11
319,1.0536e+11,-1.06165e+11
320,1.07172e+11,-1.04337e+11
321,1.08952e+11,-1.02478e+11
322,1.10699e+11,-1.0059e+11
323,1.12414e+11,-9.8671e+10
324,1.14096e+11,-9.67232e+10
325,1.15744e+11,-9.47467e+10
326,1.17357e+11,-9.27421e+10
327,1.18936e+11,-9.07101e+10
328,1.2048e+11,-8.86513e+10
329,1.21988e+11,-8.65661e+10
330,1.2346e+11,-8.44554e+10
331,1.24895e+11,-8.23196e+10
332,1.26293e+11,-8.01595e+10
333,1.27654e+11,-7.79757e+10
334,1.28977e+11,-7.57687e+10
335,1.30262e+11,-7.35393e+10
336,1.31509e+11,-7.12882e+10
337,1.32716e+11,-6.90159e+10
338,1.33884e+11,-6.67232e+10
339,1.35013e+11,-6.44108e+10
340,1.36101e+11,-6.20793e+10
341,1.3715e+11,-5.97294e+10
342,1.38157e+11,-5.73618e+10
343,1.39124e+11,-5.49773e+10
344,1.4005e+11,-5.25765e+10
345,1.40934e+11,-5.01601e+10
346,1.41776e+11,-4.77288e+10
347,1.42576e+11,-4.52835e+10
348,1.43335e+11,-4.28247e+10
349,1.44051e+11,-4.03533e+10
350,1.44724e+11,-3.78699e+10
